
2025/08/14 (12:49:49) | ===> btop++ v.1.3.2
2025/08/14 (12:49:49) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/08/14 (12:49:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/08/14 (12:49:49) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/08/14 (12:49:49) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/08/14 (12:54:06) | WARNING: Failed to join _runner thread on exit!

2025/08/14 (12:54:11) | ===> btop++ v.1.3.2
2025/08/14 (12:54:11) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/08/14 (12:54:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/08/14 (12:54:11) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/08/14 (12:54:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/08/18 (14:34:33) | ===> btop++ v.1.3.2
2025/08/18 (14:34:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/08/18 (14:34:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/08/18 (14:34:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/08/18 (14:34:33) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/08/18 (14:34:35) | WARNING: Failed to join _runner thread on exit!
